timestamp,ticker,timeframe,actual_tf,score,bias,regime,htf,btc,confidence,entry_price_idr
2026-06-29 08:13:39,BTC,1H,1H,1,BULLISH,SQUEEZE,bearish,N/A,D — Very low conviction,1076896000.0
2026-06-29 08:14:28,BBCA,4H,1D,1,BULLISH,RANGING,neutral,N/A,C — Low conviction,6000.0
2026-06-29 08:14:57,ARB,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,1367.0
.0
2026-06-29 08:14:57,ADA,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,2605.0
2026-06-29 08:14:57,ATOM,1H,1H,1,BULLISH,NEUTRAL,bearish,bullish,D — Very low conviction,28360.0
2026-06-29 08:14:59,AVAX,1H,1H,4,BULLISH,TRENDING_UP,neutral,bullish,A — High conviction,117822.0
2026-06-29 08:14:59,BNB,1H,1H,-6,BEARISH,TRENDING_DOWN,bearish,bullish,D — Very low conviction,9888645.0
2026-06-29 08:14:59,DOGE,1H,1H,-4,BEARISH,SQUEEZE,bearish,bullish,D — Very low conviction,1307.0
2026-06-29 08:14:59,BTC,1H,1H,1,BULLISH,SQUEEZE,bearish,N/A,D — Very low conviction,1076897000.0
2026-06-29 08:15:02,DOT,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,14721.0
2026-06-29 08:15:02,HYPE,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,1124000.0
2026-06-29 08:15:02,ETH,1H,1H,1,BULLISH,SQUEEZE,bearish,bullish,D — Very low conviction,28407000.0
2026-06-29 08:15:03,LINK,1H,1H,1,BULLISH,SQUEEZE,bearish,bullish,D — Very low conviction,130881.0
2026-06-29 08:15:04,LTC,1H,1H,-4,BEARISH,RANGING,neutral,bullish,D — Very low conviction,765000.0
2026-06-29 08:15:04,NEAR,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,33389.0
2026-06-29 08:15:04,OP,1H,1H,2,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,1832.0
2026-06-29 08:15:05,PENGU,1H,1H,1,BULLISH,NEUTRAL,bearish,bullish,D — Very low conviction,110.5
2026-06-29 08:15:06,PEPE,1H,1H,-4,BEARISH,NEUTRAL,bearish,bullish,C — Low conviction,0.042247
2026-06-29 08:15:07,PUMP,1H,1H,6,BULLISH,TRENDING_UP,neutral,bullish,A — High conviction,26.596
2026-06-29 08:15:09,SHIB,1H,1H,1,BULLISH,TRENDING_UP,bearish,bullish,C — Low conviction,0.075546
